,h0_dyn,pv,sub,Netzbezug,Eigenverbrauch,Einspeisung,battery_soc,battery_charge,battery_discharge,grid_export,pv_excess,grid_import,eigenverbrauch
2016-10-23 13:00:00,0.6770897487909672,4.3413,3.664210251209033,0.0,0.6770897487909672,3.664210251209033,10.0,1.24371471628087,0.0,2.3686740884164603,2.3686740884164603,0.0,0.6770897487909672
2016-10-23 14:00:00,0.5470237721341791,4.8513,4.304276227865821,0.0,0.5470237721341791,4.304276227865821,10.0,0.0,0.0,4.304276227865821,4.304276227865821,0.0,0.5470237721341791
2016-10-23 15:00:00,0.4859898010729843,2.4345,1.9485101989270155,0.0,0.4859898010729843,1.9485101989270155,10.0,0.0,0.0,1.9485101989270155,1.9485101989270155,0.0,0.4859898010729843
2016-10-23 16:00:00,0.4310012169614971,0.0,-0.4310012169614971,0.4310012169614971,0.0,0.0,9.55104039899844,0.0,0.4489596010015595,0.0,0.0,0.0,0.4310012169614971
2016-10-23 17:00:00,0.4489522732131101,0.0,-0.4489522732131101,0.4489522732131101,0.0,0.0,9.083381781068116,0.0,0.46765861793032304,0.0,0.0,0.0,0.4489522732131101
2016-10-23 18:00:00,0.5526958037809482,0.0,-0.5526958037809482,0.5526958037809482,0.0,0.0,8.507656985462962,0.0,0.5757247956051543,0.0,0.0,0.0,0.5526958037809482
2016-10-23 19:00:00,0.6467065755840425,0.0,-0.6467065755840425,0.6467065755840425,0.0,0.0,7.834004302562917,0.0,0.6736526829000443,0.0,0.0,0.0,0.6467065755840425
2016-10-23 20:00:00,0.621892332955829,0.0,-0.621892332955829,0.621892332955829,0.0,0.0,7.1861997890672615,0.0,0.6478045134956553,0.0,0.0,0.0,0.621892332955829
2016-10-23 21:00:00,0.5785792744926266,0.0,-0.5785792744926266,0.5785792744926266,0.0,0.0,6.583513044804109,0.0,0.6026867442631527,0.0,0.0,0.0,0.5785792744926266
2016-10-23 22:00:00,0.5132560385547096,0.0,-0.5132560385547096,0.5132560385547096,0.0,0.0,6.048871337976286,0.0,0.5346417068278225,0.0,0.0,0.0,0.5132560385547096
