,h0_dyn,pv,sub,Netzbezug,Eigenverbrauch,Einspeisung
2016-02-06 08:00:00,0.5918037836609642,0.3187,-0.2731037836609642,0.2731037836609642,0.0,0.0
2016-02-06 09:00:00,0.7006208794698414,0.7832,0.08257912053015859,0.0,0.7006208794698414,0.08257912053015859
2016-02-06 10:00:00,0.7309284924518258,0.4642,-0.2667284924518258,0.2667284924518258,0.0,0.0
2016-02-06 11:00:00,0.7660759816190421,0.9895,0.22342401838095793,0.0,0.7660759816190421,0.22342401838095793
2016-02-06 12:00:00,0.823410762147532,1.1428,0.3193892378524681,0.0,0.823410762147532,0.3193892378524681
2016-02-06 13:00:00,0.8194069488371742,0.7373,-0.08210694883717429,0.08210694883717429,0.0,0.0
2016-02-06 14:00:00,0.7583248875772044,0.6732,-0.08512488757720438,0.08512488757720438,0.0,0.0
2016-02-06 15:00:00,0.71059223033126,1.7081,0.99750776966874,0.0,0.71059223033126,0.99750776966874
2016-02-06 16:00:00,0.71509376701095,0.0,-0.71509376701095,0.71509376701095,0.0,0.0
2016-02-06 17:00:00,0.8917853760272577,0.0,-0.8917853760272577,0.8917853760272577,0.0,0.0
2016-02-06 18:00:00,1.0346135570101263,0.0,-1.0346135570101263,1.0346135570101263,0.0,0.0
2016-02-06 19:00:00,1.0380574352453156,0.0,-1.0380574352453156,1.0380574352453156,0.0,0.0
2016-02-06 20:00:00,0.8494835384307147,0.0,-0.8494835384307147,0.8494835384307147,0.0,0.0
2016-02-06 21:00:00,0.6623635997039024,0.0,-0.6623635997039024,0.6623635997039024,0.0,0.0
2016-02-06 22:00:00,0.6050746140888371,0.0,-0.6050746140888371,0.6050746140888371,0.0,0.0
2016-02-06 23:00:00,0.5132197621771097,0.0,-0.5132197621771097,0.5132197621771097,0.0,0.0
2016-02-07 00:00:00,0.386014397689667,0.0,-0.386014397689667,0.386014397689667,0.0,0.0
2016-02-07 01:00:00,0.2780354060698497,0.0,-0.2780354060698497,0.2780354060698497,0.0,0.0
2016-02-07 02:00:00,0.2225622620962034,0.0,-0.2225622620962034,0.2225622620962034,0.0,0.0
2016-02-07 03:00:00,0.20304375397714944,0.0,-0.20304375397714944,0.20304375397714944,0.0,0.0
2016-02-07 04:00:00,0.19123022325954347,0.0,-0.19123022325954347,0.19123022325954347,0.0,0.0
2016-02-07 05:00:00,0.19067498185925458,0.0,-0.19067498185925458,0.19067498185925458,0.0,0.0
2016-02-07 06:00:00,0.20221518360810442,0.0,-0.20221518360810442,0.20221518360810442,0.0,0.0
2016-02-07 07:00:00,0.24677933040865124,0.0,-0.24677933040865124,0.24677933040865124,0.0,0.0
2016-02-07 08:00:00,0.437006616343932,1.4056,0.968593383656068,0.0,0.437006616343932,0.968593383656068
2016-02-07 09:00:00,0.6836287681997558,3.5255,2.841871231800244,0.0,0.6836287681997558,2.841871231800244
2016-02-07 10:00:00,0.8596397797744746,3.5841999999999996,2.7245602202255252,0.0,0.8596397797744746,2.7245602202255252
2016-02-07 11:00:00,1.0007847245219084,2.1447,1.1439152754780915,0.0,1.0007847245219084,1.1439152754780915
2016-02-07 12:00:00,1.020066930838734,2.7986999999999997,1.7786330691612657,0.0,1.020066930838734,1.7786330691612657
2016-02-07 13:00:00,0.853801755045501,0.9126000000000001,0.058798244954499035,0.0,0.853801755045501,0.058798244954499035
2016-02-07 14:00:00,0.6716680271729534,0.3608,-0.31086802717295337,0.31086802717295337,0.0,0.0
2016-02-07 15:00:00,0.5753116678868504,0.4347,-0.14061166788685042,0.14061166788685042,0.0,0.0
2016-02-07 16:00:00,0.5264302597145247,0.0,-0.5264302597145247,0.5264302597145247,0.0,0.0
2016-02-07 17:00:00,0.6201304287629523,0.0,-0.6201304287629523,0.6201304287629523,0.0,0.0
2016-02-07 18:00:00,0.7715862312604357,0.0,-0.7715862312604357,0.7715862312604357,0.0,0.0
2016-02-07 19:00:00,0.8696004478261457,0.0,-0.8696004478261457,0.8696004478261457,0.0,0.0
2016-02-07 20:00:00,0.7897871758048818,0.0,-0.7897871758048818,0.7897871758048818,0.0,0.0
2016-02-07 21:00:00,0.668503279608351,0.0,-0.668503279608351,0.668503279608351,0.0,0.0
2016-02-07 22:00:00,0.5659767968772644,0.0,-0.5659767968772644,0.5659767968772644,0.0,0.0
2016-02-07 23:00:00,0.4174031335477886,0.0,-0.4174031335477886,0.4174031335477886,0.0,0.0
2016-02-08 00:00:00,0.28753772586530785,0.0,-0.28753772586530785,0.28753772586530785,0.0,0.0
